HOUSEID,WTHHFIN,HHVEHCNT,HHFAMINC,INCOME_LOW,INCOME_MID,INCOME_HIGH,WRKCOUNT,DRVRCNT,HOMEOWN,URBRUR,URSIZE,HHR_AGE,HHR_SEX,HHR_EDUC,HTRESDN,GSCOST,GSTOTCST,zero,logsum1,logsum2_old,logsum2,logsum3,logsum4,const,HTRESDN,HTRESDN_1000,HTRESDN_INCOME_LOW,HTRESDN_INCOME_MID,HTRESDN_INCOME_HIGH,BESTMILE,MILE_10K,GSYRGAL,GSCOST,GSTOTCST,COST_PER_MILE,MEAN_COST_10,MEAN_COST
33209436,537.2363074,0,3,3,0,0,0,0,1,1,5,68,0,3,7000,0,0,0,6.984877559,18.86283198,17.87402838,19.82056261,26.99508385,1,7000,7,7,0,0,0,0,0,0,0,0,0,0
33861432,2330.731128,0,5,5,0,0,0,0,1,1,4,87,0,2,3000,0,0,0,6.285753313,18.64811699,17.42775767,18.23131432,28.99995087,1,3000,3,3,0,0,0,0,0,0,0,0,0,0
34715484,1490.531731,0,4,4,0,0,1,1,0,1,5,55,0,2,3000,0,0,0,6.048668485,19.63541525,18.37048484,17.98869977,26.88802472,1,3000,3,3,0,0,0,0,0,0,0,0,0,0
35793313,698.2902637,0,8,8,0,0,0,1,1,1,5,78,0,5,17000,0,0,0,6.114886559,18.01583437,17.05720837,19.67041266,29.58722521,1,17000,17,17,0,0,0,0,0,0,0,0,0,0
36036585,196.6521764,0,12,12,0,0,0,1,1,1,5,63,0,5,30000,0,0,0,6.543901612,19.26102676,17.85911132,19.31923668,29.46592419,1,30000,30,30,0,0,0,0,0,0,0,0,0,0
36119059,53.55076248,0,5,5,0,0,0,0,1,1,1,56,0,4,1500,0,0,0,6.189551128,18.26421826,17.052491,17.06465498,30.25352637,1,1500,1.5,1.5,0,0,0,0,0,0,0,0,0,0
36314041,2914.301607,0,8,8,0,0,1,1,0,1,5,68,1,5,3000,0,0,0,6.482563842,17.50092184,16.34034076,18.49234973,29.3232985,1,3000,3,3,0,0,0,0,0,0,0,0,0,0
36908664,1591.830263,0,15,0,15,0,1,1,1,1,5,48,1,5,30000,0,0,0,7.040341001,19.77061356,18.52542833,21.57850317,31.45034511,1,30000,30,0,30,0,0,0,0,0,0,0,0,0
37047805,1378.452985,0,4,4,0,0,1,0,1,1,5,52,0,3,7000,0,0,0,6.276765634,18.01233465,17.02461514,16.86272952,29.07814839,1,7000,7,7,0,0,0,0,0,0,0,0,0,0
37442811,441.748923,0,4,4,0,0,1,0,0,1,1,51,1,2,1500,0,0,0,6.258877263,18.30143458,17.26186122,18.78390902,29.63632004,1,1500,1.5,1.5,0,0,0,0,0,0,0,0,0,0
